Año;Mes;Producto;Datos;Total
;;NAFTA VIRGEN;Suma de M3;5899
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;784994
;;PARAFINAS;Suma de M3;0
;;;Suma de Toneladas;52.80000114
;;;Suma de ValorFOB;43170.87988
;;PETROLEO;Suma de M3;56117
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;6760455
;2;ADITIVOS LUBRICANTES;Suma de M3;85
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;210295
;;ADITIVOS PARA COMBUSTIBLES;Suma de M3;130
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;370412
;;BASES LUBRICANTES;Suma de M3;17022
;;;Suma de Toneladas;2011
;;;Suma de ValorFOB;5072344
;;CONCENTRADO AROMATICO;Suma de M3;7197.730103
;;;Suma de Toneladas;5725.790161
;;;Suma de ValorFOB;1133134.813
;;FUEL OIL, AZUFRE >1%;Suma de M3;0
;;;Suma de Toneladas;4478
;;;Suma de ValorFOB;419426
;;GAS NATURAL;Suma de M3;144564000
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;6555000
;;GAS OIL;Suma de M3;96924.53027
;;;Suma de Toneladas;8064.279785
;;;Suma de ValorFOB;13919777.5
;;GRASAS;Suma de M3;0
;;;Suma de Toneladas;2.879999995
;;;Suma de ValorFOB;34819.4209
;;METIL TERBUTIL ETER (MTBE);Suma de M3;0
;;;Suma de Toneladas;4901
;;;Suma de ValorFOB;1335378
;;NAFTA VIRGEN;Suma de M3;11760
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;1379883
;3;ADITIVOS LUBRICANTES;Suma de M3;19
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;27226
;;ADITIVOS PARA COMBUSTIBLES;Suma de M3;76
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;239875
;;AGUARRAS;Suma de M3;156
;;;Suma de Toneladas;126
;;;Suma de ValorFOB;86035
;;ASFALTOS;Suma de M3;0
;;;Suma de Toneladas;10
;;;Suma de ValorFOB;10480
;;BASES LUBRICANTES;Suma de M3;4583
;;;Suma de Toneladas;349
;;;Suma de ValorFOB;826420
;;CARBON MINERAL;Suma de M3;0
;;;Suma de Toneladas;32935
;;;Suma de ValorFOB;2188140.75
;;FUEL OIL, AZUFRE >1%;Suma de M3;0
;;;Suma de Toneladas;5089
;;;Suma de ValorFOB;509348
;;GAS NATURAL;Suma de M3;155060000
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;7056000
;;GAS OIL;Suma de M3;14010
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;1989420
;;GRASAS;Suma de M3;0
;;;Suma de Toneladas;1.440000057
;;;Suma de ValorFOB;8886.379883
;;METIL TERBUTIL ETER (MTBE);Suma de M3;0
;;;Suma de Toneladas;17067
;;;Suma de ValorFOB;5597197
;;NAFTA VIRGEN;Suma de M3;11947
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;1671144
;;PARAFINAS;Suma de M3;0
;;;Suma de Toneladas;29.63000011
;;;Suma de ValorFOB;37647.5
;4;ADITIVOS LUBRICANTES;Suma de M3;202
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;462658
;;ADITIVOS PARA COMBUSTIBLES;Suma de M3;68
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;183092
;;AEROKEROSENE;Suma de M3;57832
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;11195228
;;BASES LUBRICANTES;Suma de M3;254
;;;Suma de Toneladas;133
;;;Suma de ValorFOB;77077
;;CARBON MINERAL;Suma de M3;0
;;;Suma de Toneladas;127928.8984
;;;Suma de ValorFOB;6682738.5
;;FUEL OIL, AZUFRE >1%;Suma de M3;0
;;;Suma de Toneladas;2383
;;;Suma de ValorFOB;279426
;;GAS NATURAL;Suma de M3;151100000
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;6846000
;;GAS OIL;Suma de M3;132305
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;21808044
;;GRASAS;Suma de M3;0
;;;Suma de Toneladas;0.730000019
;;;Suma de ValorFOB;2041.339966
;;METIL TERBUTIL ETER (MTBE);Suma de M3;0
;;;Suma de Toneladas;4241
;;;Suma de ValorFOB;1261383
;5;ADITIVOS LUBRICANTES;Suma de M3;14
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;33650
;;ADITIVOS PARA COMBUSTIBLES;Suma de M3;216
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;508441
;;AEROKEROSENE;Suma de M3;44228
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;7619874
;;AGUARRAS;Suma de M3;22
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;16919
;;BASES LUBRICANTES;Suma de M3;10846
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;3047253
;;CARBON MINERAL;Suma de M3;0
;;;Suma de Toneladas;92770.35156
;;;Suma de ValorFOB;4760769.5
;;FUEL OIL, AZUFRE >1%;Suma de M3;0
;;;Suma de Toneladas;2571
;;;Suma de ValorFOB;252510
;;GAS NATURAL;Suma de M3;184300000
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;8714000
;;GAS OIL;Suma de M3;130341
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;20499743
;;HULLA BITUMINOSA TERMICA;Suma de M3;0
;;;Suma de Toneladas;39977
;;;Suma de ValorFOB;1772340
;;METIL TERBUTIL ETER (MTBE);Suma de M3;0
;;;Suma de Toneladas;18466
;;;Suma de ValorFOB;5381235
;;PARAFINAS;Suma de M3;0
;;;Suma de Toneladas;21.89999962
;;;Suma de ValorFOB;19647.41016
;6;ADITIVOS LUBRICANTES;Suma de M3;71
;;;Suma de Toneladas;0
;;;Suma de ValorFOB;113076
;;ADITIVOS PARA COMBUSTIBLES;Suma de M3;138
;;;Suma de Toneladas;0
